"climate change_neutral" "negative emotions_ambivalent" "negative emotions_negative" "positive values_positive" "global dimension_positive" "scientific explanation_ambivalent" "scientific explanation_negative" "destruction of the environment_negative" "man made_negative" "negative consequences_ambivalent" "natural disaster_negative" "rising sea level_negative" "general measures against climate change_ambivalent" "green technologies_positive" "environmental friendly behavior_positive" "climate change_negative" "social consequences_negative" "activism_positive" "political measures against climate change_ambivalent" "political measures against climate change_positive" "environmental consciousness_positive" "industry_negative" "climate change_positive" "impact on agriculture_positive" "health and food_positive" "global warming_negative" "rest_positive" "danger to humanity_negative" "science_positive" "politics_negative" "activism_negative" "costs_negative" "global warming_ambivalent" "global warming_positive" "political measures against climate change_negative" "denial_negative" "nuclear power_ambivalent" "politics_ambivalent" "positive consequences_positive" "rest_negative" "environmental damaging behavior_negative" "economy_negative" "scarcity_negative" "environmental damaging behavior_positive" "government overpower_negative" "positive consequences_ambivalent" "natural disaster_positive" "conspirative narration_negative" "natural process_neutral" "future_positive" "environmental pollution_negative" "green technologies_neutral" "political measures against climate change_neutral" "health and food_negative" "protection of the environment_positive" "man made_neutral" "green technologies_negative" "destruction of the environment_neutral" "man made_ambivalent" "impact on agriculture_negative" "healthy environment_negative" "green technologies_ambivalent" "natural disaster_ambivalent" "nuclear power_negative" "climate change_ambivalent" "rest_neutral" "industry_neutral" "politics_positive" "economy_positive" "science_ambivalent" "environmental damaging behavior_neutral" "activism_neutral" "destruction of the environment_ambivalent" "political conspiracy_negative" "natural process_positive" "industry_ambivalent" "costs_positive" "global dimension_negative" "economy_neutral" "natural process_ambivalent" "human adaptability_positive" "rest_ambivalent" "environmental friendly behavior_ambivalent" "conspiracy mention_ambivalent" "environmental consciousness_ambivalent" "activism_ambivalent" "healthy environment_positive" "environmental pollution_positive" "environmental pollution_ambivalent" "social consequences_neutral" "natural process_negative" "scientific explanation_positive" "scientific explanation_neutral" "politics_neutral" "science_negative" "healthy environment_neutral" "denial_ambivalent" "negative consequences_negative" "general measures against climate change_negative" "conspirative narration_neutral" "danger to humanity_positive" "future_negative" "political conspiracy_ambivalent" "environmental friendly behavior_neutral" "weather_positive" "man made_positive" "rising sea level_ambivalent" "scarcity_positive" "protection of the environment_neutral" "future_ambivalent" "denial_positive" "negative consequences_positive" "environmental friendly behavior_negative" "conspirative narration_positive" "criticism_negative" "inevitable_negative"
37 1 1 2 3 2 6 20 5 1 24 4 1 13 5 0 6 0 2 3 7 2 0 1 1 19 6 8 2 5 1 3 0 7 6 2 1 1 1 3 4 2 8 1 1 0 0 2 0 1 3 2 1 3 7 1 0 1 1 1 0 2 0 0 0 2 0 1 1 0 0 0 1 2 2 0 1 1 1 1 2 1 0 2 1 1 5 3 0 1 0 1 0 0 1 0 0 2 0 1 1 0 0 0 2 1 1 1 0 0 1 0 0 1 0 1
1 1 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 4 4 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0 0 8 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 0 0 1 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 0 0 0 0 4 2 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 0 0 0 0 2 21 1 1 0 3 1 0 1 1 4 0 0 0 0 0 0 1 0 0 7 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
20 0 1 0 0 1 1 43 0 1 11 4 0 0 0 6 1 0 0 0 0 0 1 0 0 6 1 8 0 0 0 0 0 1 0 0 0 0 0 1 0 0 4 0 0 0 0 0 0 0 3 0 0 1 1 0 0 0 0 1 1 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 0 0 0 0 2 1 0 8 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
