CAM	participantCAM	id	text	value	comment	date	x_pos	y_pos	predefinedConcept	isDraggable	isDeletable	isTextChangeable	isActive	text_summarized
a3dd05cf-2eed-4199-a426-af4c7d84379a	63dd3dd2593c92be97d8dbde	69cf264a-6703-448a-b750-269d7ba61dfc	Climate Change	0		2023-12-10T10:39:26Z	650	400	TRUE	0	0	0	TRUE	Climate Change_neutral
a3dd05cf-2eed-4199-a426-af4c7d84379a	63dd3dd2593c92be97d8dbde	1e9df5a7-80ec-4f7b-90f2-1c24fdee338d	Environment	10	Varies a lot	2023-12-10T10:39:38Z	921	447	FALSE	1	1	1	TRUE	rest_ambivalent
a3dd05cf-2eed-4199-a426-af4c7d84379a	63dd3dd2593c92be97d8dbde	c2a4f0cc-6ea9-4846-b61e-f619e4280c90	Wildfires	-3	Causes great damage	2023-12-10T10:39:57Z	948	302	FALSE	1	1	1	TRUE	natural disaster_negative
a3dd05cf-2eed-4199-a426-af4c7d84379a	63dd3dd2593c92be97d8dbde	e3770dad-9171-42da-a40c-55c6df2bbddf	Loss of Habitat	-2	Bad for wildlife	2023-12-10T10:40:48Z	1147	476	FALSE	1	1	1	TRUE	destruction of the environment_negative
a3dd05cf-2eed-4199-a426-af4c7d84379a	63dd3dd2593c92be97d8dbde	0f843d85-3801-4dd2-be7c-928c295ad984	Energy sources	10	Neither good or bad	2023-12-10T10:41:32Z	685	184	FALSE	1	1	1	TRUE	rest_ambivalent
a3dd05cf-2eed-4199-a426-af4c7d84379a	63dd3dd2593c92be97d8dbde	5c0bb272-b53d-4cd2-9b76-1b135f6f214c	Fossil Fuels	-2	Unsustainable	2023-12-10T10:42:15Z	926	43	FALSE	1	1	1	TRUE	man made_negative
a3dd05cf-2eed-4199-a426-af4c7d84379a	63dd3dd2593c92be97d8dbde	3483310c-ec7c-4666-ba92-d7017c19c6eb	Nuclear power	3	Very good energy	2023-12-10T10:42:37Z	560	301	FALSE	1	1	1	TRUE	nuclear power_positive
a3dd05cf-2eed-4199-a426-af4c7d84379a	63dd3dd2593c92be97d8dbde	6f1d2cb5-ffa5-446b-8207-147accb8d3d4	Wind power	3		2023-12-10T10:43:15Z	606	80	FALSE	1	1	1	TRUE	green technologies_positive
a3dd05cf-2eed-4199-a426-af4c7d84379a	63dd3dd2593c92be97d8dbde	4a384d90-45ad-4eb3-a970-4ff384ac95a6	Solar power	2		2023-12-10T10:43:30Z	445	126	FALSE	1	1	1	TRUE	green technologies_positive
a3dd05cf-2eed-4199-a426-af4c7d84379a	63dd3dd2593c92be97d8dbde	5a21fb6b-878f-4a93-b923-15296fd7224a	Natural gases	-3		2023-12-10T10:43:44Z	732	54	FALSE	1	1	1	TRUE	industry_negative
