"";"PROLIFIC_PID";"country.y";"classes_conspiracy";"politicalParty";"socio_sex";"mean_affImg";"mean_valence_macro";"num_nodes_macro";"R1";"R2";"R3";"R4";"R5";"affImgAffect-R1";"affImgAffect-R2";"affImgAffect-R3";"affImgAffect-R4";"affImgAffect-R5";"A1";"A2";"A3";"A4";"A5";"A6";"A7";"A8"
"6";"570bc1ffb9b52b00102db939";"USA";1;"Democrat";"Female";1,6;-2,8;15;"scary";"serious";"dangerous";"severe";"threat";2;2;2;1;1;"mass extinction";"loss of biodiversity";"severe weather";"extreme heat";"extreme cold";"damaging storms";"higher insurance rates";"fewer animal species"
"20";"5b0d1b8e444cef0001ca66ac";"USA";1;"Democrat";"Female";4;-0,714285714285714;14;"boring";"weather";"natural";NA;NA;3;4;5;NA;NA;"Cause confusion";"Human";"Natural process";"Harmful";"Increased temperature";"Harms agriculture";"Weather disasters";"Inevitable?"
"24";"5e7a6846f0f631000a4e2b9d";"USA";1;"Democrat";"Male";1,4;-2;12;"hot";"icemelt";"bad";"dying out";"impacts";1;2;1;1;2;"Warmer Temps";"More storms";"Polar Cap melt";"Ocean Level Rise";"Ocean Temp Rise";"More hurricanes";"Destruction of homes";"Wildlife affected"
"26";"63cc61687ea57d11f6761f4d";"USA";3;"Democrat";"Male";1,8;-0,0714285714285714;14;"meliting ice";"wild fires";"hurricane";"impact on ecosystem";"impact on wildlife";2;2;2;1;2;"Greenhouse Effect";"global warming";"Climate Diplomacy";"Sustainable Development";"Ecological Footprint";"Carbon Pricing";"Carbon Neutrality";"Carbon Footprint"
"28";"5d96eeed1998fb00177f6b71";"USA";1;"Democrat";"Female";4,8;-0,615384615384615;13;"solar";"wind";"global";"warming";"water";6;6;4;3;5;"fossil fuels";"renewable energy";"electric cars";"pollution";"wildfires";"natural disasters";"arctic ice melting ";"deforestation"
"36";"5f35cd449bf003039842077f";"USA";3;"Democrat";"Female";2;1,30769230769231;13;"warmer temptature";"Nature will surfer ";NA;NA;NA;3;1;NA;NA;NA;"Expensive";"Clean Air";"Exercise";"Eat Less meat";"Save Money";"Led Lights";"Water effiicent";"Go Outside more"
"43";"5c347cb8bef9a20001e30950";"USA";1;"Democrat";"Male";2;-0,307692307692308;13;"manmade";"critical";"frightening";"impending";NA;2;2;2;2;NA;"imminent danger";"renewable energy";"poarized politics";"forming new industries";"confusing legislation";"increase in prices";"corporate interests";"sabotoging progress"
"45";"6412285c18716831333d53b3";"USA";1;"Democrat";"Male";2;-0,615384615384615;13;"temperature";"weather";NA;NA;NA;2;2;NA;NA;NA;"additional effort";"personal recycling value";"negative impact world";"others perception me";"recycling while traveling";"supporting my ideals";"negative impact lifestyle";"loved ones reactions"
"49";"6486aa634b94f1dd568fd487";"USA";1;"Democrat";"Female";3,6;-2,6;15;"global warming";"environment";"recycling";"reduce";"carbon emissions";2;4;5;5;2;"water shortages";"population collapse";"food shortages";"war";"warmer summers";"increased energy costs";"colder winters";"increasing ocean temperatures"
"56";"645d33a2abc8fe8abb1aa87a";"USA";1;"Democrat";"Female";2,2;-1,5;12;"global warming";"carbon emissions";"ruining the environment";"energy companies";"renewable energy";1;1;1;1;7;"Evidence";"Causes";"Solutions";"extreme weather increase";"melting glaciers";"oceans warming";"human activities";"natural changes"
"98";"5ba184ad35768a0001437bdc";"USA";3;"Democrat";"Female";3,25;-1,13333333333333;15;"weather";"damage";"temperature";"changes";NA;4;2;4;3;NA;"Weather changes";"global warming";"fossil fuels";"sea level";"damage";"Ice Melting";"Severe Storms";"Renewable Energy"
"104";"60fdd5732c9e665b27eac15e";"USA";1;"Democrat";"Male";1;-0,846153846153846;13;"wildfire";"hurricanes";"disaster";"global warming";"devastation";1;1;1;1;1;"Less Snow";"Melting Ice";"Rising Water Levels";"Warmer Temperatures";"More Natural Disasters";"Death and Destruction";"New Government Policy";"Reduced Climate Impacts"
"108";"629a7466cebc9523d66d4d8e";"USA";1;"Democrat";"Female";2;-0,466666666666667;15;"global warming";"greenhouse gasses";"political action";"industrial pollution";"gasoline";1;1;6;1;1;"greenhouse gases";"environmental activisim";"my commute/travel";"oil industry";"eco-conscious practices";"eco-conscious policies";"plastic waste";"public transit"
