"";"PROLIFIC_PID";"country";"class_conspiracy";"originalWord";"valence";"summarizedWord"
"R1";"61255c5cd3dc2cfd8fbc101d";"USA";1;"dangerous";1;"dangerous"
"R2";"61255c5cd3dc2cfd8fbc101d";"USA";1;"controversial";2;"controversial"
"R3";"61255c5cd3dc2cfd8fbc101d";"USA";1;"scientific";6;"scientific"
"R4";"61255c5cd3dc2cfd8fbc101d";"USA";1;"looming";1;"looming"
"R5";"61255c5cd3dc2cfd8fbc101d";"USA";1;"disastrous";1;"disastrous"
"R11";"5590a34cfdf99b729d4f69dc";"USA";3;"destruction";1;"destruction"
"R21";"5590a34cfdf99b729d4f69dc";"USA";3;"man made";1;"man made"
"R31";"5590a34cfdf99b729d4f69dc";"USA";3;"disaster";1;"disaster"
"R41";"5590a34cfdf99b729d4f69dc";"USA";3;"extinction";1;"extinction"
"R51";"5590a34cfdf99b729d4f69dc";"USA";3;"scary";1;"scary"
"R12";"5dcf402982569a08ddd84086";"USA";1;"real";4;"real"
"R22";"5dcf402982569a08ddd84086";"USA";1;"scary";1;"scary"
"R32";"5dcf402982569a08ddd84086";"USA";1;"threatening";1;"threatening"
"R42";"5dcf402982569a08ddd84086";"USA";1;"global";4;"global"
"R13";"5f23b7f1c920f1000baef3b1";"USA";2;"weather";3;"weather"
"R14";"63a3375101319bb7cb39f654";"USA";3;"rain";3;"rain"
"R23";"63a3375101319bb7cb39f654";"USA";3;"sun";3;"sun"
"R33";"63a3375101319bb7cb39f654";"USA";3;"heat";3;"heat"
"R43";"63a3375101319bb7cb39f654";"USA";3;"humans";3;"humans"
"R52";"63a3375101319bb7cb39f654";"USA";3;"world";2;"world"
"R15";"570bc1ffb9b52b00102db939";"USA";1;"scary";2;"scary"
"R24";"570bc1ffb9b52b00102db939";"USA";1;"serious";2;"serious"
"R34";"570bc1ffb9b52b00102db939";"USA";1;"dangerous";2;"dangerous"
"R44";"570bc1ffb9b52b00102db939";"USA";1;"severe";1;"severe"
"R53";"570bc1ffb9b52b00102db939";"USA";1;"threat";1;"threat"
"R16";"58b2338a898c2e0001a5ca56";"USA";2;"fucked";1;"fucked"
"R25";"58b2338a898c2e0001a5ca56";"USA";2;"hot";3;"hot"
"R35";"58b2338a898c2e0001a5ca56";"USA";2;"dry";3;"dry"
"R45";"58b2338a898c2e0001a5ca56";"USA";2;"death";1;"death"
"R17";"5d350282cec7150015d16494";"USA";2;"sad";2;"sad"
"R26";"5d350282cec7150015d16494";"USA";2;"death";1;"death"
"R36";"5d350282cec7150015d16494";"USA";2;"heat";3;"heat"
"R46";"5d350282cec7150015d16494";"USA";2;"maadness";2;"maadness"
"R54";"5d350282cec7150015d16494";"USA";2;"evil";1;"evil"
"R18";"5fff542aeed8c2065133114e";"USA";1;"global warming";1;"global warming"
"R27";"5fff542aeed8c2065133114e";"USA";1;"2.5 C";4;"2.5 C"
"R37";"5fff542aeed8c2065133114e";"USA";1;"fossil fuels";2;"fossil fuels"
"R47";"5fff542aeed8c2065133114e";"USA";1;"dread";1;"dread"
"R55";"5fff542aeed8c2065133114e";"USA";1;"fear";1;"fear"
"R19";"5b7e118e87d85f0001baac27";"USA";1;"Real";1;"Real"
"R28";"5b7e118e87d85f0001baac27";"USA";1;"dangerous";1;"dangerous"
"R38";"5b7e118e87d85f0001baac27";"USA";1;"serious";1;"serious"
"R48";"5b7e118e87d85f0001baac27";"USA";1;"worrying";1;"worrying"
"R56";"5b7e118e87d85f0001baac27";"USA";1;"happening";1;"happening"
"R110";"6480d2e60bb76dc7968705dd";"USA";3;"human suffering";1;"human suffering"
