"natural disaster_negative","destruction of the environment_negative","global warming_negative","danger to humanity_negative","climate change_neutral","green technologies_positive","environmental friendly behavior_positive","rest_positive","scientific explanation_negative","social consequences_negative","costs_negative","protection of the environment_positive","environmental pollution_negative","political measures against climate change_positive","rising sea level_negative","political measures against climate change_negative","climate change_negative","conspirative narration_negative","environmental consciousness_positive","global warming_positive","rest_negative","positive consequences_positive","industry_negative","politics_negative","scarcity_negative","environmental damaging behavior_negative","climate change_ambivalent","healthy environment_positive","man made_negative","natural process_positive","science_positive","negative emotions_negative","political conspiracy_negative","positive values_positive","rest_neutral","activism_negative","economy_negative","global dimension_positive","global warming_ambivalent","political measures against climate change_ambivalent","activism_positive","denial_negative","health and food_positive","negative consequences_negative"
0,11,16,8,24,0,0,3,3,5,1,0,2,0,4,0,13,0,0,1,1,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
11,0,6,8,20,0,0,1,1,1,0,1,3,0,4,0,6,0,0,1,1,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,6,0,7,19,0,0,1,7,0,0,1,4,0,7,0,5,0,0,2,1,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,8,7,0,8,0,0,1,1,5,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,20,19,8,0,13,5,6,6,6,3,7,3,3,4,6,0,2,7,7,3,1,2,5,8,4,0,5,5,2,2,1,2,2,2,1,2,3,0,2,0,2,1,2
0,0,0,0,13,0,1,7,1,0,3,3,1,2,0,0,4,0,3,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,5,1,0,1,1,0,0,5,2,0,0,0,3,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3,1,1,1,6,7,1,0,1,1,0,2,2,0,1,0,1,0,1,0,1,1,2,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
3,1,7,1,6,1,1,1,0,0,1,0,1,0,1,0,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,0,5,6,0,0,1,0,0,2,0,0,0,0,0,4,1,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
1,0,0,1,3,3,0,0,1,2,0,0,0,0,0,6,2,2,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
