"natural disaster_negative","destruction of the environment_negative","global warming_negative","green technologies_positive","environmental friendly behavior_positive","danger to humanity_negative","climate change_negative","climate change_neutral","man made_negative","scientific explanation_negative","social consequences_negative","politics_negative","rising sea level_negative","protection of the environment_positive","environmental damaging behavior_negative","environmental consciousness_positive","political measures against climate change_positive","environmental pollution_negative","costs_negative","negative emotions_negative","scarcity_negative","economy_negative","global dimension_negative","industry_negative","politics_ambivalent","positive consequences_positive","rest_ambivalent","activism_positive","global dimension_positive","negative consequences_negative","criticism_negative","environmental friendly behavior_ambivalent","general measures against climate change_positive","impact on agriculture_negative","rest_negative","green technologies_ambivalent","industry_ambivalent","political measures against climate change_ambivalent","political measures against climate change_negative","social consequences_ambivalent"
0,16,14,0,1,13,15,24,3,0,8,0,3,0,0,0,0,1,3,1,3,2,3,0,0,1,1,0,0,2,0,0,0,2,3,3,0,0,0,2
16,0,11,0,0,7,11,20,4,0,3,2,6,1,0,1,1,1,0,0,3,0,6,0,0,1,1,0,0,3,0,0,0,0,2,0,0,0,1,1
14,11,0,0,0,0,12,9,5,6,0,0,13,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,7,0,13,14,0,1,0,1,0,3,0,2,2,0,2,0,0,0,0,1,0,1,2,0,3,0,0,1,1,0,0,3,2,0,0,0
1,0,0,7,0,0,5,14,0,2,0,1,0,4,0,2,1,2,1,0,0,1,0,1,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0
13,7,0,0,0,0,6,8,0,1,8,1,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,2
15,11,12,13,5,6,0,0,5,11,3,3,4,7,2,2,4,2,1,3,3,1,4,0,5,0,1,3,3,3,1,2,0,1,2,0,2,2,1,1
24,20,9,14,14,8,0,0,6,5,1,4,5,3,3,2,2,5,2,2,3,0,2,0,1,1,6,1,0,2,0,1,4,0,0,1,0,1,1,2
3,4,5,0,0,0,5,6,0,5,0,1,1,1,1,1,0,4,0,1,0,2,1,3,0,1,2,1,0,0,2,0,0,0,0,1,0,0,0,0
0,0,6,1,2,1,11,5,5,0,0,0,0,0,5,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0
8,3,0,0,0,8,3,1,0,0,0,0,1,0,0,0,0,0,2,0,4,1,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,2,0,1,1,1,3,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
3,6,13,0,0,1,4,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,1,0,3,4,0,7,3,1,0,0,0,0,0,0,5,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,2,3,1,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,2,2,0,2,2,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
0,1,0,2,1,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,2,0,2,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,0,2,2,1,1,1,2,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,3,0,0,0,3,3,3,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1
2,0,0,0,1,1,1,0,2,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
3,6,3,0,0,0,4,2,1,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,1,0,1,2,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,1,2,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,3,2,2,3,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,1,0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,2,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0,0,3,1,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
