"";"ID.x";"PROLIFIC_PID";"dummy_informedconsent.x";"commCheck.x";"R1";"R2";"R3";"R4";"R5";"meta.userAgent.x";"meta.platform.x";"meta.language.x";"meta.locale.x";"meta.timeZone.x";"meta.timezoneOffset.x";"meta.screen_width.x";"meta.screen_height.x";"meta.scroll_width.x";"meta.scroll_height.x";"meta.window_innerWidth.x";"meta.window_innerHeight.x";"meta.devicePixelRatio.x";"CMQ-02";"CMQ-03";"CMQ-01";"CMQ-04";"CMQ-05";"affImgAffect-R3";"affImgAffect-R2";"affImgAffect-R1";"affImgAffect-R4";"affImgAffect-R5";"CRKQ-05s";"CRKQ-04s";"CRKQ-03s";"CRKQ-03ccc";"CRKQ-05fopr";"CRKQ-02fop";"CRKQ-02ccc";"CRKQ-02s";"CRKQ-03fopr";"CRKQ-01s";"CRKQ-07s";"CRKQ-04fopr";"CRKQ-06s";"CRKQ-04ccc";"CRKQ-01ccc";"CRKQ-01fop";"CCSQ-03ts";"CCSQ-01isr";"CCSQ-02asr";"CCSQ-01as";"CCSQ-03rs";"CCSQ-03as";"CCSQ-02rs";"CCSQ-03isr";"CCSQ-02is";"CCSQ-01rs";"CCSQ-01ts";"CCSQ-02tsr";"GCB-03gm";"GCB-03mg";"GCB-03pw";"GCB-01gm";"GCB-02mg";"GCB-01mg";"GCB-03et";"GCB-03ci";"GCB-02ci";"GCB-01pw";"GCB-01ci";"GCB-02gm";"GCB-02pw";"GCB-01et";"GCB-02et";"feedback_critic.x";"politicalParty";"country.x";"total_min";"socio_age";"socio_sex";"socio_ethnicity";"socio_student";"socio_employment";"total_min_prolific";"mean_affImg";"mean_GCB";"mean_CMQ";"mean_CRKQ";"mean_CCSQ";"fc_CMQ";"fc_GCBci";"fc_GCBet";"fc_GCBgm";"fc_GCBmg";"fc_GCBpw";"fc_CRKQccc";"fc_CRKQfop";"fc_CRKQs";"fc_CCSQ";"classes_conspiracy";"countryParty";"Biospheric-1biospheric";"Biospheric-2biospheric";"Biospheric-3biospheric";"Biospheric-4biospheric";"commCheck.y";"concernClimate1";"concernClimate2";"dummy_informedconsent.y";"education";"feedback_critic.y";"ID.y";"lrscale";"mean_BiosphericValues";"mean_CCCprobability";"mean_CET";"mean_PolicyItems";"mean_RiskPerception";"meta.devicePixelRatio.y";"meta.language.y";"meta.locale.y";"meta.platform.y";"meta.screen_height.y";"meta.screen_width.y";"meta.scroll_height.y";"meta.scroll_width.y";"meta.timeZone.y";"meta.timezoneOffset.y";"meta.userAgent.y";"meta.window_innerHeight.y";"meta.window_innerWidth.y";"policyItems-1";"policyItems-2";"policyItems-3";"policyItems-4";"policyItems-5";"policyItems-6";"policyItems-7";"policyItems-8";"probabilityClimate1";"probabilityClimate2";"Risk-1riskProb";"Risk-2riskProb";"Risk-3riskProb";"Risk-4riskProb";"rlgdgr";"country.y";"CAM_ID";"participantCAM";"mean_valence_macro";"mean_valence_normed_macro";"density_macro";"transitivity_macro";"centr_degree_macro";"centr_clo_macro";"centr_betw_macro";"centr_eigen_macro";"meanDistance_directed_macro";"meanDistance_undirected_macro";"diameter_weighted_undirected_macro";"diameter_unweighted_undirected_macro";"diameter_unweighted_directed_macro";"num_nodes_macro";"num_nodes_pos_macro";"num_nodes_neg_macro";"num_nodes_neut_macro";"num_nodes_ambi_macro";"num_edges_macro";"num_edges_solid_macro";"num_edges_dashed_macro";"num_edges_invaliddashed_macro";"meanWeightEdges_macro";"reciprocity_macro";"assortativity_valence_macro";"assortativityDegree_macro";"degreetot_micro_ClimateChange";"valence_micro_ClimateChange";"centr_clo_micro_ClimateChange";"transitivity_micro_ClimateChange"
"1";1;"61255c5cd3dc2cfd8fbc101d";1;1;"dangerous";"controversial";"scientific";"looming";"disastrous";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 Edg/119.0.0.0";"Win32";"en-US";"en-US";"America/New_York";300;1536;864;1466;436;1466;734;1,25;7;2;3;1;1;6;2;1;1;1;2;3;1;5;3;2;5;1;3;1;2;3;2;6;6;4;1;0;1;2;2;1;1;1;2;2;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;NA;"Democrat";"USA";11,7356004666714;73;"Male";"White";"No";"Not in paid work (e.g. homemaker', 'retired or disabled)";11,9666666666667;2,2;1,06666666666667;2,8;2,25;1,33333333333333;-2.70215548525383;-1,55891836047961;-1,0490060741138;-1,51104378609333;-1,4141326664347;-1,26939484630543;0,686262723414708;-0,274732152547298;-1,00480967823743;-0,781897170526127;1;"Democrat";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";2;"5590a34cfdf99b729d4f69dc";1;1;"destruction";"man made";"disaster";"extinction";"scary";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";"Win32";"en-US";"en-US";"America/New_York";300;1280;768;1280;435;1280;599;1;9;7;8;7;7;1;1;1;1;1;2;4;3;5;3;4;6;1;3;2;2;4;2;6;5;3;1;0;0;1;2;2;1;1;2;3;3;2;4;4;3;4;4;3;4;4;4;2;3;4;2;3;4;NA;"Democrat";"USA";15,6169099166631;57;"Female";"White";"No";"Part-Time";15,9833333333333;1;3,46666666666667;7,6;2,75;1,5;1.1183302919578;0,743198392870448;1,48796606987484;1,50580922886726;1,29080165913107;0,0901284127911314;0,771902381376109;0,228524632122233;-0,405163144780289;-0,773715770920367;3;"Democrat";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";3;"5dcf402982569a08ddd84086";1;1;"real";"scary";"threatening";"global";NA;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15";"MacIntel";"en-US";"en-US";"America/New_York";300;2240;1260;1147;435;1147;1069;2;9;5;7;2;4;1;1;4;4;NA;2;4;3;6;3;4;6;1;5;1;1;3;1;6;6;2;2;1;1;3;2;2;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;"no";"Democrat";"USA";12,8626333333333;55;"Female";"White";"No";"Full-Time";13,0333333333333;2,5;1;5,4;2,5;1,66666666666667;-0.96701555293646;-1,89810283083666;-1,0490060741138;-1,51104378609333;-1,4141326664347;-1,26939484630543;1,24780253464689;-0,037544233981652;-0,88094358891438;-0,555125592998523;1;"Democrat";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";4;"5f23b7f1c920f1000baef3b1";1;1;"weather";NA;NA;NA;NA;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";"Win32";"en-US";"en-US";"America/New_York";300;2560;1440;2560;435;2560;1323;1;10;7;8;3;2;NA;NA;3;NA;NA;4;3;2;4;4;5;6;1;3;2;2;4;3;6;6;3;1;1;1;3;2;2;1;1;3;2;2;2;4;1;2;4;1;1;2;4;3;2;1;4;1;1;2;NA;"Democrat";"USA";8,69618991666796;30;"Male";"Mixed";"No";"Full-Time";8,83333333333333;3;2,2;6;3;1,75;-0.94155950653301;-0,394069649976989;-0,441682544849054;1,50580922886727;-1,4141326664347;-0,540580579603607;0,769512474396197;0,588506491619234;-0,237487900235046;-0,244482315238359;2;"Democrat";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";5;"63a3375101319bb7cb39f654";1;1;"rain";"sun";"heat";"humans";"world";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";"Win32";"en-US";"en-US";"America/New_York";300;1536;864;1536;436;1536;747;1,25;9;5;6;9;7;3;3;3;3;2;5;5;4;5;4;6;4;3;4;5;5;3;5;6;4;5;6;2;1;5;2;5;1;1;5;5;6;1;5;5;4;4;3;5;4;4;3;4;4;4;3;5;5;"no";"Democrat";"USA";6,33241876666644;53;"Female";"Black";"No";"Unemployed (and job seeking)";6,51666666666667;2,8;4,13333333333333;7,2;4,5;3,33333333333333;1.14585138301637;0,946972586952772;2,49059034647719;1,86099661744678;2,05405916629679;1,50830682920289;-0,109642303982999;0,487405230549323;1,94317111321522;0,751408481714423;3;"Democrat";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";6;"570bc1ffb9b52b00102db939";1;1;"scary";"serious";"dangerous";"severe";"threat";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";"Win32";"en-US";"en-US";"America/Chicago";360;1600;900;1600;435;1600;751;1;5;2;3;2;1;2;2;2;1;1;1;2;1;6;3;3;6;1;3;1;1;4;1;6;6;2;1;0;0;1;1;1;1;0;1;2;1;0;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;"no";"Democrat";"USA";4,53916836665673;42;"Female";"White";"No";"Other";4,83333333333333;1,6;1,13333333333333;2,6;1,91666666666667;0,75;-2.58207018091962;-1,55891836047961;-0,761383353705854;-1,51104378609332;-1,4141326664347;-1,26939484630543;1,24780253464689;0,0867438499638344;-1,4123744417081;-1,45210796740602;1;"Democrat";8;7;7;7;1;7;5;1;"bachelor";"no";13;"4";7,25;6;0,24;5,375;6,75;1;"en-US";"en-US";"Win32";900;1600;435;1600;"America/Chicago";360;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36";751;1600;7;2;6;4;7;4;7;6;5;7;7;7;6;7;"1";"USA";"570bc1ffb9b52b00102db939";"570bc1ffb9b52b00102db939";-2,8;-1;0,0857142857142857;0,15;0,0994897959183673;0,373322130440059;0,440345368916798;0,646345368163519;5,96610169491525;6,73333333333333;14;5;5;15;0;15;0;0;18;18;0;0;2,33333333333333;0;NA;-0,128279883381924;5;-3;1;0,1
"7";7;"58b2338a898c2e0001a5ca56";1;1;"fucked";"hot";"dry";"death";NA;"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0";"Linux x86_64";"en-US";"en-US";"America/Phoenix";420;1600;900;1508;179;1508;719;1;10;6;11;3;1;3;3;1;1;NA;3;1;3;6;6;6;4;1;6;1;2;6;6;6;5;6;7;0;0;1;1;1;1;0;1;1;1;0;4;2;4;2;1;1;3;4;4;3;2;2;3;1;3;"I read that the top 18 richest billionaires have 66% carbon footprint, (includes Wall Street holdings). That one Russian dude has multiple yachts which has huge carbon footprint. Also suppressing new energy is not secret. The Town in Canada that was  burnt to the ground was full of employees from a fracking firm even tho' the largest  water-bucket plane in the world was not deployed only 200 miles away.  They blame the tree-huggers for the fires (yeah right)";"Democrat";"USA";7,91323133333333;62;"Female";"White";"No";"Not in paid work (e.g. homemaker', 'retired or disabled)";8,3;2;2,6;6,2;3,91666666666667;1,16666666666667;-0.996980597190856;0,296184313893861;0,165640984415692;0,204948662719243;-1,02876264209755;1,11457211719439;0,366257849287788;2,74757467848431;-0,430463245361691;-1,39308869901582;2;"Democrat";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";8;"5d350282cec7150015d16494";1;1;"sad";"death";"heat";"maadness";"evil";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:120.0) Gecko/20100101 Firefox/120.0";"Win32";"en-US";"en-US";"America/New_York";300;1920;1080;1649;179;1649;918;1;10;10;10;10;6;3;1;2;2;1;1;1;1;6;2;2;6;1;3;1;1;3;1;6;6;5;1;0;0;1;1;1;1;0;1;1;1;0;2;2;2;2;2;2;1;1;2;2;1;2;2;2;1;NA;"Democrat";"USA";8,49496433333333;38;"Male";"White";"No";"Part-Time";27,15;1,8;1,73333333333333;9,2;1,83333333333333;0,666666666666667;2.00460825251834;-1,6548629459424;-0,691505296016607;-0,5054261144398;-0,400717612036114;-0,244951141902183;1,24780253464689;-0,492933229885901;-1,49236065697372;-1,4883476011616;2;"Democrat";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";9;"5fff542aeed8c2065133114e";1;1;"global warming";"2.5 C";"fossil fuels";"dread";"fear";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36";"Linux armv81";"en-US";"en-US";"America/New_York";300;412;869;375;435;375;700;2,88604807853699;6;2;3;1;2;2;4;1;1;1;1;2;1;6;3;4;6;1;3;1;1;3;1;6;5;2;1;0;0;1;1;1;1;0;1;2;1;0;1;1;1;1;2;1;1;3;2;2;1;1;1;1;1;"I think a few powerful people do control a lot of the world (putin, Xi, other dictators), but it's not some secret organization
";"Democrat";"USA";6,46980663332916;27;"Male";"White";"No";"Full-Time";6,61666666666667;1,8;1,33333333333333;2,8;1,91666666666667;0,75;-2.48976759360719;-0,976494005228299;-1,0490060741138;-1,51104378609333;-1,12139847400327;-0,875660134296927;1,01104741150146;-0,293934407718184;-1,41237444170809;-1,45210796740602;1;"Democrat";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";10;"5b7e118e87d85f0001baac27";1;1;"Real";"dangerous";"serious";"worrying";"happening";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36";"Win32";"en-US";"en-US";"America/New_York";300;1366;768;1366;435;1366;657;1;6;1;2;1;2;1;1;1;1;1;2;3;1;5;3;4;6;1;3;1;1;3;2;6;6;1;1;0;2;1;1;6;1;0;1;1;1;0;1;1;1;1;1;1;1;2;2;1;1;1;2;1;2;NA;"Democrat";"USA";9,55310543331784;67;"Female";"White";"No";"Not in paid work (e.g. homemaker', 'retired or disabled)";9,73333333333333;1;1,26666666666667;2,4;2,08333333333333;1,25;-2.68236053956557;-1,31567847558535;-0,761383353705856;-1,51104378609333;-1,4141326664347;-0,973765408604005;1,00865750452154;-0,369625362590103;-1,10460289189394;-1,04522301134925;1;"Democrat";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
