Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
6575919302676ad9ef983b26,65410ad762a7e3c570b6273c,APPROVED,2023-12-10T10:23:22.860000Z,2023-12-10T11:00:04.395000Z,2023-12-10T11:00:05.149000Z,2023-12-10T11:00:05.283153Z,2202.0,CH50SU4D,75,34,Male,Asian,Germany,Germany,Turkey,Turkish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6575919c719ed6e63274ae11,6053d1011605ac6f3164bc99,APPROVED,2023-12-10T10:23:36.465000Z,2023-12-10T10:57:32.767000Z,2023-12-10T10:57:33.505000Z,2023-12-10T10:57:33.437583Z,2037.0,CH50SU4D,410,26,Male,Other,Turkey,Germany,Turkey,Turkish,Yes,Full-Time,
657591bf9b3c601d1c28682c,65465caa5dcdb76a16d563b3,APPROVED,2023-12-10T10:23:59.443000Z,2023-12-10T11:04:22.569000Z,2023-12-10T11:04:23.128000Z,2023-12-10T11:04:23.068447Z,2424.0,CH50SU4D,63,24,Male,Mixed,Germany,Germany,Azerbaijan,German,No,Full-Time,
657591e0000442e5a54f557e,6427068bce4fc1aa335ad025,APPROVED,2023-12-10T10:29:27.952000Z,2023-12-10T11:15:00.725000Z,2023-12-10T11:15:01.353000Z,2023-12-10T11:15:01.289363Z,2733.0,CH50SU4D,302,28,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED,
6575922466e758976ed1ae65,5d6fda2bde432b0019b19ba7,APPROVED,2023-12-10T10:25:45.179000Z,2023-12-10T11:00:56.323000Z,2023-12-10T11:00:56.838000Z,2023-12-10T11:00:56.779587Z,2112.0,CH50SU4D,1301,56,Male,White,Germany,Germany,Germany,German,No,Full-Time,
6575925a5e75311b432c2424,60fd19bb0d1f1d54adccc4fa,APPROVED,2023-12-10T10:26:36.529000Z,2023-12-10T10:39:27.984000Z,2023-12-10T10:39:28.517000Z,2023-12-10T10:39:28.456583Z,772.0,CH50SU4D,386,20,Female,White,Germany,Germany,Germany,German,No,Unemployed (and job seeking),
657592606fe1896982c34635,650a5cc55e8ddf8bae0b81fb,APPROVED,2023-12-10T10:26:42.134000Z,2023-12-10T10:46:39.629000Z,2023-12-10T10:46:40.154000Z,2023-12-10T10:46:40.082223Z,1198.0,CH50SU4D,48,38,Male,White,Germany,Germany,Germany,German,Yes,Other,
657592741b56f7fc59a82b99,653128a510c3e3686565e042,APPROVED,2023-12-10T10:30:23.335000Z,2023-12-10T11:47:25.660000Z,2023-12-10T11:47:26.168000Z,2023-12-10T11:47:26.088965Z,4623.0,CH50SU4D,64,22,Female,White,Germany,Germany,Germany,German,No,Full-Time,
6575928d6fe1896982c3463c,6546ae64283c55141ad64787,APPROVED,2023-12-10T10:27:31.787000Z,2023-12-10T10:50:29.828000Z,2023-12-10T10:50:30.427000Z,2023-12-10T10:50:30.351666Z,1379.0,CH50SU4D,21,28,Female,White,Turkey,Germany,Turkey,Turkish,No,Full-Time,
657594b80381d3b2b560f5bc,5c258d9a3217420001e6bdf4,APPROVED,2023-12-10T10:37:34.970000Z,2023-12-10T11:03:43.043000Z,2023-12-10T11:03:43.606000Z,2023-12-10T11:03:43.548724Z,1569.0,CH50SU4D,585,40,Male,White,Germany,Germany,Germany,German,Yes,Part-Time,
657597b56fe1896982c346d6,6524e0ef44178670528207b7,APPROVED,2023-12-10T10:49:29.846000Z,2023-12-10T11:10:55.545000Z,2023-12-10T11:10:56.031000Z,2023-12-10T11:10:55.968098Z,1286.0,CH50SU4D,23,23,Female,White,Turkey,Germany,Turkey,Turkish,Yes,Other,
