Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
657593fd52774fe562fec93f,63dd3dd2593c92be97d8dbde,APPROVED,2023-12-10T10:35:06.110000Z,2023-12-10T10:50:58.225000Z,2023-12-10T10:50:58.781000Z,2023-12-10T10:50:58.696363Z,953.0,CECPTMQ9,2041,20,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking),
6575a04cd749c56ad88db909,606604f1ca47696cf97529c0,APPROVED,2023-12-10T11:26:23.577000Z,2023-12-10T11:57:00.044000Z,2023-12-10T11:57:00.640000Z,2023-12-10T11:57:00.574313Z,1837.0,CECPTMQ9,6250,38,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
6575b43d52774fe562fece25,614f58258eaf7063aa888d90,APPROVED,2023-12-10T12:51:13.996000Z,2023-12-10T13:43:59.812000Z,2023-12-10T13:44:00.390000Z,2023-12-10T13:44:00.301960Z,3166.0,CECPTMQ9,2675,30,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED,
6575b53fd749c56ad88dbc70,5e7a6846f0f631000a4e2b9d,APPROVED,2023-12-10T12:55:30.039000Z,2023-12-10T13:18:12.933000Z,2023-12-10T13:18:13.467000Z,2023-12-10T13:18:13.392915Z,1363.0,CECPTMQ9,6087,57,Male,White,United States,United States,United States,English,No,Full-Time,
6575b542445f9148b906973c,65396e0fea695094030f508b,APPROVED,2023-12-10T12:55:37.028000Z,2023-12-10T13:35:50.780000Z,2023-12-10T13:35:51.254000Z,2023-12-10T13:35:51.186399Z,2414.0,CECPTMQ9,360,63,Female,White,United States,United States,United States,English,No,Part-Time,
6575b5751a04b30cfb28245c,5ba184ad35768a0001437bdc,APPROVED,2023-12-10T12:56:24.038000Z,2023-12-10T13:28:17.939000Z,2023-12-10T13:28:18.464000Z,2023-12-10T13:28:18.398556Z,1914.0,CECPTMQ9,1765,31,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
6575b90253074b1feafbc959,59296fb2e8a7ff000163f033,APPROVED,2023-12-10T13:11:36.006000Z,2023-12-10T14:27:56.340000Z,2023-12-10T14:27:56.866000Z,2023-12-10T14:27:56.805695Z,4581.0,CECPTMQ9,7173,39,Male,White,United States,United States,United States,English,No,Full-Time,
6575c06db325ba3ee39df413,63ea4301f63c1d26f0ff83e9,APPROVED,2023-12-10T13:43:15.314000Z,2023-12-10T14:04:50.400000Z,2023-12-10T14:04:50.959000Z,2023-12-10T14:04:50.893247Z,1296.0,CECPTMQ9,2417,46,Female,White,United States,United States,United States,English,Yes,Full-Time,
6575c3ed1bba83fbe4748bf1,5d8934dc4c680f00181616f8,APPROVED,2023-12-10T13:58:16.079000Z,2023-12-10T14:32:02.061000Z,2023-12-10T14:32:02.658000Z,2023-12-10T14:32:02.584893Z,2026.0,CECPTMQ9,4546,36,Female,White,United States,United States,United States,English,Yes,Full-Time,
6575c5b070f7f20050011bfa,5c37aa8b832a8400010983b3,APPROVED,2023-12-10T14:05:36.295000Z,2023-12-10T14:47:54.455000Z,2023-12-10T14:47:55.087000Z,2023-12-10T14:47:55.024786Z,2539.0,CECPTMQ9,3930,36,Male,Asian,United States,United States,United States,English,No,Full-Time,
6575ce4c94910ddce0170a8f,5b0d1b8e444cef0001ca66ac,APPROVED,2023-12-10T14:42:57.675000Z,2023-12-10T15:04:14.024000Z,2023-12-10T15:04:14.638000Z,2023-12-10T15:04:14.576042Z,1277.0,CECPTMQ9,1890,59,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
6575d5c5b243569b7dd1364a,5589c7cefdf99b18bd86cf31,APPROVED,2023-12-10T15:14:16.444000Z,2023-12-10T16:18:07.553000Z,2023-12-10T16:18:08.129000Z,2023-12-10T16:18:08.069937Z,3832.0,CECPTMQ9,8349,40,Male,White,United States,United States,United States,English,No,Full-Time,
6575d75d6e119563e8472a00,5bdfb648484288000130dad0,APPROVED,2023-12-10T15:21:01.822000Z,2023-12-10T16:36:53.842000Z,2023-12-10T16:36:54.360000Z,2023-12-10T16:36:54.298084Z,4553.0,CECPTMQ9,4913,31,Male,White,United States,United States,United States,English,No,Full-Time,
6575d8e19c6576b736f062b1,570bc1ffb9b52b00102db939,APPROVED,2023-12-10T15:27:35.605000Z,2023-12-10T15:49:27.442000Z,2023-12-10T15:49:27.946000Z,2023-12-10T15:49:27.888343Z,1312.0,CECPTMQ9,7685,42,Female,White,United States,United States,United States,English,No,Other,
6575d8ff1b74b657e5a7d36e,6486aa634b94f1dd568fd487,APPROVED,2023-12-10T15:28:03.621000Z,2023-12-10T15:48:39.420000Z,2023-12-10T15:48:39.968000Z,2023-12-10T15:48:39.901359Z,1236.0,CECPTMQ9,1682,51,Female,White,United States,United States,United States,English,No,Full-Time,
6575db2d37de41de82d1406b,5b0319e68d753d0001cc75c7,APPROVED,2023-12-10T15:37:22.349000Z,2023-12-10T16:05:23.939000Z,2023-12-10T16:05:24.488000Z,2023-12-10T16:05:24.426949Z,1682.0,CECPTMQ9,2682,50,Female,White,United States,United States,United States,English,No,Full-Time,
6575dd52d4df4e86c7ffb6f0,603d6ae665fbaacb5621ede2,APPROVED,2023-12-10T15:46:26.075000Z,2023-12-10T17:01:02.907000Z,2023-12-10T17:01:03.445000Z,2023-12-10T17:01:03.370765Z,4477.0,CECPTMQ9,4268,26,Male,Black,United States,United States,United States,English,No,Full-Time,
6575ddc8969f1bd9c2edad23,654580dcf53f11ae40ade9fd,APPROVED,2023-12-10T15:48:44.152000Z,2023-12-10T16:20:43.357000Z,2023-12-10T16:20:43.874000Z,2023-12-10T16:20:43.806306Z,1920.0,CECPTMQ9,203,56,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",
